0.000000 0.000000  1.000000 0.500000
3.450000 -26.162598  -9.879800 -207.849866
3.460000 -26.261396  -9.880289 -208.814237
3.470000 -26.360199  -9.880769 -209.778752
3.480000 -26.459007  -9.881239 -210.743408
3.490000 -26.557819  -9.881701 -211.708201
3.500000 -26.656636  -9.882153 -212.673129
3.510000 -26.755457  -9.882596 -213.638190
3.520000 -26.854283  -9.883030 -214.603380
3.530000 -26.953114  -9.883456 -215.568698
3.540000 -27.051948  -9.883873 -216.534141
3.550000 -27.150787  -9.884282 -217.499705
3.560000 -27.249630  -9.884683 -218.465390
3.570000 -27.348477  -9.885076 -219.431192
3.580000 -27.447327  -9.885461 -220.397110
3.590000 -27.546182  -9.885839 -221.363140
3.600000 -27.645040  -9.886209 -222.329281
3.610000 -27.743903  -9.886572 -223.295531
3.620000 -27.842768  -9.886928 -224.261887
3.630000 -27.941638  -9.887276 -225.228347
3.640000 -28.040510  -9.887618 -226.194910
3.650000 -28.139386  -9.887953 -227.161573
3.660000 -28.238266  -9.888282 -228.128334
3.670000 -28.337149  -9.888603 -229.095191
3.680000 -28.436035  -9.888919 -230.062143
3.690000 -28.534924  -9.889228 -231.029188
3.700000 -28.633816  -9.889531 -231.996323
3.710000 -28.732712  -9.889829 -232.963547
3.720000 -28.831610  -9.890120 -233.930858
3.730000 -28.930511  -9.890405 -234.898255
3.740000 -29.029415  -9.890685 -235.865736
3.750000 -29.128322  -9.890960 -236.833298
3.760000 -29.227232  -9.891229 -237.800942
3.770000 -29.326144  -9.891492 -238.768664
3.780000 -29.425059  -9.891750 -239.736463
3.790000 -29.523976  -9.892004 -240.704339
3.800000 -29.622896  -9.892252 -241.672288
3.810000 -29.721819  -9.892495 -242.640311
3.820000 -29.820744  -9.892734 -243.608405
3.830000 -29.919671  -9.892968 -244.576569
3.840000 -30.018601  -9.893197 -245.544802
3.850000 -30.117533  -9.893422 -246.513102
3.860000 -30.216467  -9.893642 -247.481468
3.870000 -30.315403  -9.893858 -248.449899
3.880000 -30.414342  -9.894069 -249.418393
3.890000 -30.513283  -9.894277 -250.386949
3.900000 -30.612226  -9.894480 -251.355566
3.910000 -30.711170  -9.894679 -252.324243
3.920000 -30.810117  -9.894874 -253.292978
3.930000 -30.909066  -9.895066 -254.261771
3.940000 -31.008017  -9.895254 -255.230620
3.950000 -31.106969  -9.895438 -256.199524
3.960000 -31.205923  -9.895618 -257.168482
3.970000 -31.304880  -9.895795 -258.137493
3.980000 -31.403838  -9.895968 -259.106556
3.990000 -31.502797  -9.896138 -260.075670
4.000000 -31.601759  -9.896304 -261.044834
4.010000 -31.700722  -9.896467 -262.014046
4.020000 -31.799686  -9.896627 -262.983307
4.030000 -31.898653  -9.896784 -263.952615
4.040000 -31.997620  -9.896938 -264.921968
4.050000 -32.096590  -9.897088 -265.891367
4.060000 -32.195561  -9.897236 -266.860810
