5.020000 -0.052675  -0.986033 4.038998e-09
5.030000 -0.062509  -0.980273 4.084310e-09
5.040000 -0.072281  -0.973534 4.129806e-09
5.050000 -0.081980  -0.965821 4.175396e-09
5.060000 -0.091597  -0.957142 4.220984e-09
5.070000 -0.101123  -0.947506 4.266477e-09
5.080000 -0.110547  -0.936923 4.311781e-09
5.090000 -0.119861  -0.925402 4.356802e-09
5.100000 -0.129055  -0.912956 4.401447e-09
5.110000 -0.138120  -0.899598 4.445626e-09
5.120000 -0.147047  -0.885339 4.489248e-09
5.130000 -0.155827  -0.870196 4.532225e-09
5.140000 -0.164451  -0.854182 4.574472e-09
5.150000 -0.172911  -0.837314 4.615906e-09
5.160000 -0.181197  -0.819608 4.656447e-09
5.170000 -0.189303  -0.801083 4.696020e-09
5.180000 -0.197219  -0.781757 4.734551e-09
5.190000 -0.204938  -0.761649 4.771973e-09
5.200000 -0.212452  -0.740780 4.808222e-09
5.210000 -0.219753  -0.719170 4.843239e-09
5.220000 -0.226835  -0.696840 4.876970e-09
5.230000 -0.233690  -0.673814 4.909367e-09
5.240000 -0.240312  -0.650114 4.940385e-09
5.250000 -0.246693  -0.625764 4.969988e-09
5.260000 -0.252827  -0.600788 4.998144e-09
5.270000 -0.258708  -0.575211 5.024829e-09
5.280000 -0.264331  -0.549059 5.050022e-09
5.290000 -0.269689  -0.522358 5.073712e-09
5.300000 -0.274778  -0.495134 5.095891e-09
5.310000 -0.279592  -0.467416 5.116561e-09
5.320000 -0.284127  -0.439230 5.135729e-09
5.330000 -0.288377  -0.410605 5.153408e-09
5.340000 -0.292339  -0.381569 5.169618e-09
5.350000 -0.296008  -0.352152 5.184386e-09
5.360000 -0.299382  -0.322382 5.197746e-09
5.370000 -0.302456  -0.292290 5.209738e-09
5.380000 -0.305227  -0.261906 5.220407e-09
5.390000 -0.307694  -0.231260 5.229807e-09
5.400000 -0.309853  -0.200383 5.237994e-09
5.410000 -0.311702  -0.169305 5.245034e-09
5.420000 -0.313239  -0.138058 5.250996e-09
5.430000 -0.314463  -0.106673 5.255955e-09
5.440000 -0.315372  -0.075181 5.259990e-09
5.450000 -0.315966  -0.043614 5.263188e-09
5.460000 -0.316245  -0.012004 5.265637e-09
5.470000 -0.316206  0.019619 5.267430e-09
5.480000 -0.315852  0.051222 5.268665e-09
5.490000 -0.315182  0.082773 5.269441e-09
5.500000 -0.314197  0.114242 5.269864e-09
5.510000 -0.312897  0.145597 5.270037e-09
5.520000 -0.311285  0.176806 5.270070e-09
5.530000 -0.309361  0.207838 5.270073e-09
5.540000 -0.307128  0.238663 5.270157e-09
5.550000 -0.304588  0.269249 5.270433e-09
5.560000 -0.301743  0.299565 5.271015e-09
5.570000 -0.298596  0.329582 5.272013e-09
5.580000 -0.295151  0.359270 5.273542e-09
5.590000 -0.291411  0.388598 5.275710e-09
5.600000 -0.287379  0.417537 5.278627e-09
5.610000 -0.283060  0.446059 5.282401e-09
5.620000 -0.278458  0.474135 5.287137e-09
5.630000 -0.273578  0.501737 5.292936e-09
5.640000 -0.268423  0.528837 5.299898e-09
5.650000 -0.263001  0.555408 5.308118e-09
5.660000 -0.257315  0.581424 5.317686e-09
5.670000 -0.251372  0.606858 5.328689e-09
5.680000 -0.245178  0.631686 5.341209e-09
5.690000 -0.238739  0.655882 5.355322e-09
5.700000 -0.232061  0.679422 5.371099e-09
5.710000 -0.225150  0.702282 5.388603e-09
5.720000 -0.218015  0.724440 5.407895e-09
5.730000 -0.210661  0.745874 5.429025e-09
5.740000 -0.203097  0.766562 5.452039e-09
5.750000 -0.195330  0.786484 5.476975e-09
5.760000 -0.187368  0.805619 5.503863e-09
5.770000 -0.179218  0.823948 5.532727e-09
5.780000 -0.170889  0.841453 5.563582e-09
5.790000 -0.162389  0.858117 5.596438e-09
5.800000 -0.153726  0.873923 5.631293e-09
5.810000 -0.144910  0.888855 5.668142e-09
5.820000 -0.135949  0.902898 5.706968e-09
